key,value
pop.net21pk.com,203.135.45.66
pdns.nudt.edu.cn,202.197.0.180
pdns.nudt.edu.cn,202.197.0.180
doors.co.kr,211.43.193.9
doors.co.kr,211.43.193.9
orange.npix.net,211.43.194.48
orange.npix.net,211.43.194.48
servidor2.upc.es,147.83.2.3
servidor2.upc.es,147.83.2.3
servidor2.upc.es,147.83.2.3
splash-atm.upc.es,147.83.2.116
splash-atm.upc.es,147.83.2.116
splash-atm.upc.es,147.83.2.116
post.netchina.com.cn,202.94.1.48
post.netchina.com.cn,202.94.1.48
post.netchina.com.cn,202.94.1.48
www.elim.net,203.239.130.7
myhome.elim.net,203.239.130.7
myhome.elim.net,203.239.130.7
nodep.sun-ip.or.jp,150.27.1.2
nodep.sun-ip.or.jp,150.27.1.2
sonatns.sonatrach.dz,193.194.75.35
sonatns.sonatrach.dz,193.194.75.35
sonatns.sonatrach.dz,193.194.75.35
sci.s-t.au.ac.th,168.120.9.1
sci.s-t.au.ac.th,168.120.9.1
hk.sun-ip.or.jp,150.27.1.5
hk.sun-ip.or.jp,150.27.1.5
son-goki.sun-ip.or.jp,150.27.1.11
son-goki.sun-ip.or.jp,150.27.1.11
son-goki.sun-ip.or.jp,150.27.1.11
ns.nint.ac.cn,210.83.3.26
webmail.s-t.au.ac.th,168.120.9.2
webmail.s-t.au.ac.th,168.120.9.2
ns2.otenet.gr,195.170.2.1
ns2.otenet.gr,195.170.2.1
mail.tpo.fi,193.185.60.42
mail.tpo.fi,193.185.60.42
gambero1.cs.tin.it,194.243.154.57
sun.bq.ub.es,161.116.154.1
sun.bq.ub.es,161.116.154.1
sun.bq.ub.es,161.116.154.1
ns2.otenet.gr,195.170.2.1
ns.kix.ne.kr,202.30.94.10
ns.kix.ne.kr,202.30.94.10
ns.kix.ne.kr,202.30.94.10
pfdsun.kuicr.kyoto-u.ac.jp,133.3.5.2
pfdsun.kuicr.kyoto-u.ac.jp,133.3.5.2
pfdsun.kuicr.kyoto-u.ac.jp,133.3.5.2
mbi3.kuicr.kyoto-u.ac.jp,133.103.101.21
mbi3.kuicr.kyoto-u.ac.jp,133.103.101.21
bj02.cww.com,202.84.16.34
bj02.cww.com,202.84.16.34
bj02.cww.com,202.84.16.34
mpkhi-bk.multi.net.pk,202.141.224.40
mpkhi-bk.multi.net.pk,202.141.224.40
ns1.multi.net.pk,202.141.224.34
ns1.multi.net.pk,202.141.224.34
webmail.s-t.au.ac.th,168.120.9.2
mail.imamu.edu.sa,212.138.48.8
mail.imamu.edu.sa,212.138.48.8
ns2-backup.tpo.fi,193.185.60.40
ns2-backup.tpo.fi,193.185.60.40
ns2-backup.tpo.fi,193.185.60.40
public2.zz.ha.cn,218.29.0.200
public2.zz.ha.cn,218.29.0.200
public2.zz.ha.cn,218.29.0.200
msgstore2.pldtprv.net,192.168.120.3
msgstore2.pldtprv.net,192.168.120.3
icrsun.kuicr.kyoto-u.ac.jp,133.3.5.20
132.248.253.1.ns,unam.mx
ns.unam.mx,132.248.253.1
ns.unam.mx,132.248.253.1
mail.ioc.ac.ru,193.233.3.6
mail1.371.net,218.29.0.195
mail1.371.net,218.29.0.195
mail1.371.net,218.29.0.195
mailhub.minaffet.gov.rw,62.56.174.152
mailhub.minaffet.gov.rw,62.56.174.152
enterprise.telesat.com.co,66.128.32.67
enterprise.telesat.com.co,66.128.32.67
orion.platino.gov.ve,161.196.215.67
orion.platino.gov.ve,161.196.215.67
ns.cac.com.cn,202.98.102.5
ns.cac.com.cn,202.98.102.5
ns.cac.com.cn,202.98.102.5
dns2.net1.it,213.140.195.7
laleh.itrc.ac.ir,80.191.2.2
laleh.itrc.ac.ir,80.191.2.2
laleh.itrc.ac.ru,80.191.2.2
ns.ing.unirc.it,192.167.50.2
ns.ing.unirc.it,192.167.50.2
mail-gw.jbic.go.jp,210.155.61.54
giada.ing.unirc.it,192.167.50.14
giada.ing.unirc.it,192.167.50.14
dns2.unam.mx,132.248.10.2
dns2.unam.mx,132.248.10.2
dns2.unam.mx,132.248.10.2
opserver01.iti.net.pk,202.125.138.184
mail.edi.edu.cn,218.104.71.61
mail.edi.edu.cn,218.104.71.61
mail.edi.edu.cn,218.104.71.61
orhi.sarenet.es,192.148.167.5
orhi.sarenet.es,192.148.167.5
icrsun.kuicr.kyoto-u.ac.jp,133.3.5.20
icrsun.kuicr.kyoto-u.ac.jp,133.3.5.20
ns.bur.hiroshima-u.ac.jp,133.41.145.11
ns.bur.hiroshima-u.ac.jp,133.41.145.11
ns.khmc.or.kr,203.231.128.1
ns.khmc.or.kr,203.231.128.1
mail.univaq.it,192.150.195.10
mail.univaq.it,192.150.195.10
mailer.ing.unirc.it,192.167.50.202
mailer.ing.unirc.it,192.167.50.202
ns.univaq.it,192.150.195.20
ns.univaq.it,192.150.195.20
sparc20mc.ing.unirc.it,192.167.50.12
sparc20mc.ing.unirc.it,192.167.50.12
mail.hz.zh.cn,202.101.172.6
mail.hz.zh.cn,202.101.172.6
mail.hz.zh.cn,202.101.172.6
iti-idsc.net.eg,163.121.12.2
iti-idsc.net.eg,163.121.12.2
ns.hallym.ac.kr,210.115.225.11
ns.hallym.ac.kr,210.115.225.11
voyager1.telesat.com.co,66.128.32.68
voyager1.telesat.com.co,66.128.32.68
metcoc5cm.clarent.com,213.132.50.10
metcoc5cm.clarent.com,213.132.50.10
mail.jccs.com.sa,212.70.32.100
mail.jccs.com.sa,212.70.32.100
mail.jccs.com.sa,212.70.32.100
sea.net.edu.cn,202.112.5.66
sea.net.edu.cn,202.112.5.66
sea.net.edu.cn,202.112.5.66
sea.net.edu.cn,202.112.5.66
ns2.chem.tohoku.ac.jp,130.134.115.132
ns2.chem.tohoku.ac.jp,130.34.115.132
tayuman.info.com.ph,203.172.11.21
tayuman.info.com.ph,203.172.11.21
www.bygden.nu,192.176.10.178
www.bygden.nu,192.176.10.178
ns.stacken.kth.se,130.237.234.17
ns.stacken.kth.se,130.237.234.17
outweb.nudt.edu.cn,202.197.0.185
outweb.nudt.edu.cn,202.197.0.185
outweb.nudt.edu.cn,202.197.0.185
dukas.upc.es,147.83.2.62
dukas.upc.es,147.83.2.62
mail.hallym.ac.kr,210.115.225.25
mail.hallym.ac.kr,210.115.225.25
mail.hallym.ac.kr,210.115.225.25
nd11mx1-a-fixed.sancharnet.in,61.0.0.46
ndl1mx1-a-fixed.sancharnet.in,61.0.0.46
mail.siom.ac.cn,210.72.9.2
mail.siom.ac.cn,210.72.9.2
www.siom.ac.cn,202.127.16.44
www.siom.ac.cn,202.127.16.44
mailscan3.cau.ctm.net,202.175.36.180
mailscan3.cau.ctm.net,202.175.36.180
mailscan3.cau.ctm.net,202.175.36.180
ns.kimm.re.kr,203.241.84.10
ns.kimm.re.kr,203.241.84.10
ns.kimm.re.kr,203.241.84.10
s03.informatik.uni-bremin.de,134.102.201.53
s03.informatik.uni-bremin.de,134.102.201.53
scsun25.unige.ch,129.194.49.47
scsun25.unige.ch,129.194.49.47
scsun25.unige.ch,129.194.49.47
smtp.macau.ctm.net,202.175.36.220
smtp.macau.ctm.net,202.175.36.220
smtp.macau.ctm.net,202.175.36.220
ns2.ans.co.kr,210.126.104.74
ns2.ans.co.kr,210.126.104.74
ns2.ans.co.kr,210.126.104.74
cad-server1.ee.nctu.edu.tw,140.113.212.150
cad-server1.ee.nctu.edu.tw,140.113.212.150
cad-server1.ee.nctu.edu.tw,140.113.212.150
bgl1dr1-a-fixed.sancharnet.in,61.1.128.17
ndl1pp1-a-fixed.sancharnet.in,61.0.0.71
ndl1pp1-a-fixed.sancharnet.in,61.0.0.71
ndl1pp1-a-fixed.sancharnet.in,61.0.0.71
ndl1pp1-a-fixed.sancharnet.in,61.0.0.71
seoildsp.co.kr,218.36.28.250
seoildsp.co.kr,218.36.28.250
seoildsp.co.kr,218.36.28.250
seoildsp.co.kr,218.36.28.250
cmusun8.unige.ch,129.194.97.8
cmusun8.unige.ch,129.194.97.8
ganeran.sarenet.es,194.30.32.177
ganeran.sarenet.es,194.30.32.177
ganeran.sarenet.es,194.30.32.177
known.counsellor.gov.cn,61.151.243.13
known.counsellor.gov.cn,61.151.243.13
known.counsellor.gov.cn,61.151.243.13
unknown.counsellor.gov.cn,61.151.243.13
unknown.counsellor.gov.cn,61.151.243.13
unknown.counsellor.gov.cn,61.151.243.13
www21.counsellor.gov.cn,130.34.115.132
www21.counsellor.gov.cn,130.34.115.132
www21.counsellor.gov.cn,130.34.115.132
www21.counsellor.gov.cn,61.151.243.13
www21.counsellor.gov.cn,61.151.243.13
www21.counsellor.gov.cn,61.151.243.13
fl.sun-ip.or.jp,150.27.1.10
fl.sun-ip.or.jp,150.27.1.10
niveau.math.uni-bremen.de ,134.102.124.201
niveau.math.uni-bremen.de ,134.102.124.201
mails.cneic.com.cn,218.247.159.113
mails.cneic.com.cn,218.247.159.113
mails.cneic.com.cn,218.247.159.113
bgl1pp1-a-fixed.sancharnet.in,61.1.128.71
ns.youngdong.ac.kr,202.30.58.1
ns.youngdong.ac.kr,202.30.58.1
ns.youngdong.ac.kr,202.30.58.1
mtrader2.grupocorreo.es,194.30.32.29
zanburu.grupocorreo.es,194.30.32.113
zanburu.grupocorreo.es,194.30.32.113
zanburu.grupocorreo.es,194.30.32.113
sps01.office.ctm.net,202.175.4.38
sps01.office.ctm.net,202.175.4.38
mipsa.ciae.ac.cn,202.38.8.1
mipsa.ciae.ac.cn,202.38.8.1
mipsa.ciae.ac.cn,202.38.8.1
imms1.macau.ctm.net,202.175.36.54
imms1.macau.ctm.net,202.175.36.54
imms1.macau.ctm.net,202.175.36.54
sparc.nour.net.sa,212.12.160.26
sparc.nour.net.sa,212.12.160.26
dragon.unideb.hu,193.6.138.65
dragon.unideb.hu,193.6.138.65
dragon.unideb.hu,193.6.138.65
mail.irtemp.na.cnr.it,140.164.20.20
mail.irtemp.na.cnr.it,140.164.20.20
mail.irtemp.na.cnr.it,140.164.20.20
pastow.e-technik.uni-rostock.de,139.30.200.36
pastow.e-technik.uni-rostock.de,139.30.200.36
pastow.e-technik.uni-rostock.de,139.30.200.36
pastow.e-technik.uni-rostock.de,139.30.200.36
pitepalt.stacken.kth.se,130.237.234.151
pitepalt.stacken.kth.se,130.237.234.151
pitepalt.stacken.kth.se,130.237.234.151
snacks.stacken.kth.se,130.237.234.152
snacks.stacken.kth.se,130.237.234.152
snacks.stacken.kth.se,130.237.234.152
tuapewa.polytechnic.edu.na,196.31.225.2
mtccsun.imtech.ernet.in,202.141.121.198
mtccsun.imtech.ernet.in,202.141.121.198
mtccsun.imtech.ernet.in,202.141.121.198
mtccsun.imtech.ernet.in,202.141.121.198
mail.tccn.edu.tw,203.64.35.108
mail.tccn.edu.tw,203.64.35.108
mail.tccn.edu.tw,203.64.35.108
ns.cec.uchile.cl,200.9.97.3
ns.cec.uchile.cl,200.9.97.3
ns.cec.uchile.cl,200.9.97.3
mail.mae.co.kr,210.118.179.1
mail.mae.co.kr,210.118.179.1
mail.mae.co.kr,210.118.179.1
mail.must.edu.tw,203.68.220.40
mail.must.edu.tw,203.68.220.40
mail.must.edu.tw,203.68.220.40
mail.must.edu.tw,203.68.220.40
mail.ncue.edu.tw,163.23.225.100
mail.ncue.edu.tw,163.23.225.100
mail.ncue.edu.tw,163.23.225.100
mail.ncue.edu.tw,163.23.225.100
ns.bigobe.net.tw,202.166.255.98
ns.bigobe.net.tw,202.166.255.98
ns.bigobe.net.tw,202.166.255.98
ns.chining.com.tw,202.39.26.50
ns.chining.com.tw,202.39.26.50
ns.eyes.co.kr,210.98.224.88
ns.eyes.co.kr,210.98.224.88
ns.eyes.co.kr,210.98.224.88
ns.eyes.co.kr,210.98.224.88
ns2.xidian.edu.cn,202.117.112.4
ns2.xidian.edu.cn,202.117.112.4
ns2.xidian.edu.cn,202.117.112.4
ns.global-one.dk,194.234.33.5
ns.global-one.dk,194.234.33.5
ns.global-one.dk,194.234.33.5
ns1.btc.bw,168.167.168.34
ns1.btc.bw,168.167.168.34
ns1.btc.bw,168.167.168.34
ns1.btc.bw,168.167.168.34
ns1.starnets.ro,193.226.61.68
ns1.starnets.ro,193.226.61.68
ns1.starnets.ro,193.226.61.68
ns1.2911.net,202.99.41.9
ns1.2911.net,202.99.41.9
ns1.2911.net,202.99.41.9
mailsrv02.macau.ctm.net,202.175.3.120
mailsrv02.macau.ctm.net,202.175.3.120
mailsrv02.macau.ctm.net,202.175.3.120
mailsrv02.macau.ctm.net,202.175.3.120
mbox.com.eg,213.212.208.10
mbox.com.eg,213.212.208.10
mbox.com.eg,213.212.208.10
mailsvra.macau.ctm.net,202.175.3.119
mailsvra.macau.ctm.net,202.175.3.119
mailsvra.macau.ctm.net,202.175.3.119
mailsvra.macau.ctm.net,202.175.3.119
winners.yonsei.ac.kr,210.115.225.14
winners.yonsei.ac.kr,210.115.225.14
winners.yonsei.ac.kr,210.115.225.14
winners.yonsei.ac.kr,210.115.225.14
www.cfd.or.jp,210.198.16.75
www.cfd.or.jp,210.198.16.75
www.cfd.or.jp,210.198.16.75
colpisaweb.sarenet.es,194.30.32.229
colpisaweb.sarenet.es,194.30.32.229
colpisaweb.sarenet.es,194.30.32.229
colpisaweb.sarenet.es,194.30.32.229
moneo.upc.es,147.83.2.91
moneo.upc.es,147.83.2.91
moneo.upc.es,147.83.2.91
saturn.mni.fh-giessen.de,212.201.7.21
saturn.mni.fh-giessen.de,212.201.7.21
saturn.mni.fh-giessen.de,212.201.7.21
www.pue.uia.mx,192.100.196.7
www.pue.uia.mx,192.100.196.7
www.pue.uia.mx,192.100.196.7
www.pue.uia.mx,192.100.196.7
smtp.2911.net,218.245.255.5
smtp.2911.net,218.245.255.5
smtp.2911.net,218.245.255.5
ultra10.nanya.edu.tw,203.68.40.6
ultra10.nanya.edu.tw,203.68.40.6
ultra10.nanya.edu.tw,203.68.40.6
ultra10.nanya.edu.tw,203.68.40.6
mail.hangzhouit.gov.cn,202.107.197.199
no1.unternehemen.com,62.116.144.150
no1.unternehemen.com,62.116.144.150
no1.unternehemen.com,62.116.144.150
no1.unternehemen.com,62.116.144.150
mail.zzu.edu.cn,222.22.32.88
mail.zzu.edu.cn,222.22.32.88
mail.zzu.edu.cn,222.22.32.88
mail.zzu.edu.cn,222.22.32.88
iconoce1.sarenet.es,194.30.0.16
iconoce1.sarenet.es,194.30.0.16
iconoce1.sarenet.es,194.30.0.16
e3000.hallym.ac.kr,210.115.225.16
e3000.hallym.ac.kr,210.115.225.16
e3000.hallym.ac.kr,210.115.225.16
ids2.int.ids.pl,195.117.3.32
ids2.int.ids.pl,195.117.3.32
ids2.int.ids.pl,195.117.3.32
ids2.int.ids.pl,195.117.3.32
win.hallym.ac.kr,210.115.225.17
win.hallym.ac.kr,210.115.225.17
win.hallym.ac.kr,210.115.225.17
sunbath.rrze.uni-erlangen.de,131.188.3.200
sunbath.rrze.uni-erlangen.de,131.188.3.200
sunbath.rrze.uni-erlangen.de,131.188.3.200
mtrader2.grupocorreo.es,194.30.32.29
mtrader2.grupocorreo.es,194.30.32.29
mtrader2.grupocorreo.es,194.30.32.29
ns1.bttc.ru,80.82.162.118
ns1.bttc.ru,80.82.162.118
ns1.bttc.ru,80.82.162.118
ns1.bttc.ru,80.82.162.118
spirit.das2.ru,81.94.47.83
spirit.das2.ru,81.94.47.83
spirit.das2.ru,81.94.47.83
mail.et.ntust.edu.tw,140.118.2.53
mail.et.ntust.edu.tw,140.118.2.53
mail.et.ntust.edu.tw,140.118.2.53
mail.et.ntust.edu.tw,140.118.2.53
mail.hanseo.ac.kr,203.234.72.4
mail.hanseo.ac.kr,203.234.72.4
mail.hanseo.ac.kr,203.234.72.4
ltv.com.ve,200.75.112.26
ltv.com.ve,200.75.112.26
ltv.com.ve,200.75.112.26
ltv.com.ve,200.75.112.26
ns1.bangla.net,203.188.252.2
ns1.bangla.net,203.188.252.2
ns1.bangla.net,203.188.252.2
mail.lzu.edu.cn,202.201.0.136
mail.lzu.edu.cn,202.201.0.136
mail.lzu.edu.cn,202.201.0.136
tuapewa.polytechnic.edu.na,196.31.225.2
tuapewa.polytechnic.edu.na,196.31.225.2
tuapewa.polytechnic.edu.na,196.31.225.2
winner.hallym.ac.kr,210.115.225.10
winner.hallym.ac.kr,210.115.225.10
winner.hallym.ac.kr,210.115.225.10
mail.hccc.gov.tw,210.241.6.97
mail.hccc.gov.tw,210.241.6.97
mail.hccc.gov.tw,210.241.6.97
mail.hccc.gov.tw,210.241.6.97
mailgw.thtf.com.cn,218.107.133.12
mailgw.thtf.com.cn,218.107.133.12
mailgw.thtf.com.cn,218.107.133.12
mailgw.thtf.com.cn,218.107.133.12
mail.utc21.co.kr,211.40.103.194
mail.utc21.co.kr,211.40.103.194
mail.utc21.co.kr,211.40.103.194
mail.utc21.co.kr,211.40.103.194
mail1.imtech.res.in,203.90.127.22
mail1.imtech.res.in,203.90.127.22
mail1.imtech.res.in,203.90.127.22
ns.rtn.net.mx,204.153.24.1
ns.rtn.net.mx,204.153.24.1
ns.rtn.net.mx,204.153.24.1
ns.rtn.net.mx,204.153.24.1
dns1.unam.mx,132.248.204.1
dns1.unam.mx,132.248.204.1
dns1.unam.mx,132.248.204.1
dns1.unam.mx,132.248.204.1
geosun1.unige.ch,129.194.41.4
geosun1.unige.ch,129.194.41.4
geosun1.unige.ch,129.194.41.4
noc25.corp.home.ad.jp,203.165.5.82
noc25.corp.home.ad.jp,203.165.5.82
noc25.corp.home.ad.jp,203.165.5.82
noc25.corp.home.ad.jp,203.165.5.82
noc33.corp.home.ad.jp,203.165.5.74
mail.bhu.ac.in,202.141.107.15
mail.bhu.ac.in,202.141.107.15
mail.bhu.ac.in,202.141.107.15
n02.unternehmen.com,62.116.144.147
n02.unternehmen.com,62.116.144.147
n02.unternehmen.com,62.116.144.147
kommsrv.rz.unibw-muenchen.de,137.193.10.8
kommsrv.rz.unibw-muenchen.de,137.193.10.8
kommsrv.rz.unibw-muenchen.de,137.193.10.8
theta.uoks.uj.edu.pl,149.156.89.30
theta.uoks.uj.edu.pl,149.156.89.30
theta.uoks.uj.edu.pl,149.156.89.30
noc33.corp.home.ad.jp,203.165.5.74
noc33.corp.home.ad.jp,203.165.5.74
noc33.corp.home.ad.jp,203.165.5.74
noc35.corp.home.ad.jp,203.165.5.114
noc35.corp.home.ad.jp,203.165.5.114
noc35.corp.home.ad.jp,203.165.5.114
mailgw.idom.es,194.30.33.29
mailgw.idom.es,194.30.33.29
mailgw.idom.es,194.30.33.29
proxy1.tcn.ed.jp,202.231.176.242
proxy1.tcn.ed.jp,202.231.176.242
proxy1.tcn.ed.jp,202.231.176.242
ftp.hyunwoo.co.kr,211.232.97.195
ftp.hyunwoo.co.kr,211.232.97.195
ftp.hyunwoo.co.kr,211.232.97.195
logos.uba.uva.nl,145.18.84.96
logos.uba.uva.nl,145.18.84.96
logos.uba.uva.nl,145.18.84.96
ns1.sun-ip.or.jp,150.27.1.8
ns1.sun-ip.or.jp,150.27.1.8
ns1.sun-ip.or.jp,150.27.1.8
ns1.sun-ip.or.jp,150.27.1.8
mail.dyu.edu.tw,163.23.1.73
mail.dyu.edu.tw,163.23.1.73
mail.dyu.edu.tw,163.23.1.73
mail.dyu.edu.tw,163.23.1.73
mail.a-1.net.cn,210.77.147.84
mail.a-1.net.cn,210.77.147.84
mail.a-1.net.cn,210.77.147.84
no3.unternehmen.org,62.116.144.190
no3.unternehmen.org,62.116.144.190
no3.unternehmen.org,62.116.144.190
newin.int.rtbf.be,212.35.107.2
newin.int.rtbf.be,212.35.107.2
newin.int.rtbf.be,212.35.107.2
newin.int.rtbf.be,212.35.107.2
newin.int.rtbf.be,212.35.107.2
newin.int.rtbf.be,212.35.107.2
ns.hufs.ac.kr,203.253.64.1
ns.hufs.ac.kr,203.253.64.1
ns.hufs.ac.kr,203.253.64.1
ns.hufs.ac.kr,203.253.64.1
ns.hufs.ac.kr,203.253.64.1
smuc.smuc.ac.kr,203.237.176.1
smuc.smuc.ac.kr,203.237.176.1
smuc.smuc.ac.kr,203.237.176.1
smuc.smuc.ac.kr,203.237.176.1
smuc.smuc.ac.kr,203.237.176.1
connection2.connection.com.br,200.160.208.8
connection2.connection.com.br,200.160.208.8
connection2.connection.com.br,200.160.208.8
connection2.connection.com.br,200.160.208.8
mail.howon.ac.kr,203.146.64.14
mail.howon.ac.kr,203.246.64.14
mail.howon.ac.kr,203.246.64.14
mail.howon.ac.kr,203.246.64.14
mail.howon.ac.kr,203.246.64.14
mail.howon.ac.kr,203.246.64.14
ns.icu.ac.kr,210.107.128.31
ns.icu.ac.kr,210.107.128.31
ns.icu.ac.kr,210.107.128.31
ns.icu.ac.kr,210.107.128.31
ns.icu.ac.kr,210.107.128.31
ns.anseo.dankook.ac.kr,203.237.216.2
ns.anseo.dankook.ac.kr,203.237.216.2
ns.anseo.dankook.ac.kr,203.237.216.2
ns.anseo.dankook.ac.kr,203.237.216.2
ns.anseo.dankook.ac.kr,203.237.216.2
electra.otenet.gr,195.170.2.3
electra.otenet.gr,195.170.2.3
electra.otenet.gr,195.170.2.3
electra.otenet.gr,195.170.2.3
electra.otenet.gr,195.170.2.3
dns2.chinamobile.com,211.137.241.34
dns2.chinamobile.com,211.137.241.34
dns2.chinamobile.com,211.137.241.34
dns2.chinamobile.com,211.137.241.34
dns2.chinamobile.com,211.137.241.34
matematica.univaq.it,192.150.195.38
matematica.univaq.it,192.150.195.38
matematica.univaq.it,192.150.195.38
matematica.univaq.it,192.150.195.38
matematica.univaq.it,192.150.195.38
ns1.gx.chinamobile.com,211.138.252.30
ns1.gx.chinamobile.com,211.138.252.30
ns1.gx.chinamobile.com,211.138.252.30
ns1.gx.chinamobile.com,211.138.252.30
ns1.gx.chinamobile.com,211.138.252.30
ns1.gx.chinamobile.com,211.138.252.30
ns2.rosprint.ru,194.84.23.125
ns2.rosprint.ru,194.84.23.125
ns2.rosprint.ru,194.84.23.125
ns2.rosprint.ru,194.84.23.125
ns2.rosprint.ru,194.84.23.125
ns2.rosprint.ru,194.84.23.125
spin.lzu.edu.cn,202.201.0.131
spin.lzu.edu.cn,202.201.0.131
spin.lzu.edu.cn,202.201.0.131
spin.lzu.edu.cn,202.201.0.131
spin.lzu.edu.cn,202.201.0.131
milko.stacken.kth.se,130.237.234.3
milko.stacken.kth.se,130.237.234.3
milko.stacken.kth.se,130.237.234.3
milko.stacken.kth.se,130.237.234.3
milko.stacken.kth.se,130.237.234.3
noc37.corp.home.ad.jp,203.165.5.117
noc37.corp.home.ad.jp,203.165.5.117
noc37.corp.home.ad.jp,203.165.5.117
noc37.corp.home.ad.jp,203.165.5.117
noc37.corp.home.ad.jp,203.165.5.117
rabbit.uj.edu.pl,149.156.89.33
rabbit.uj.edu.pl,149.156.89.33
rabbit.uj.edu.pl,149.156.89.33
rabbit.uj.edu.pl,149.156.89.33
rabbit.uj.edu.pl,149.156.89.33
ns1.youngdong.ac.kr,202.30.58.5
uji.kyoyo-u.ac.jp,133.3.5.33
uji.kyoyo-u.ac.jp,133.3.5.33
uji.kyoyo-u.ac.jp,133.3.5.33
uji.kyoyo-u.ac.jp,133.3.5.33
uji.kyoyo-u.ac.jp,133.3.5.33
uji.kyoyo-u.ac.jp,133.3.5.33
indy.fjmu.edu.cn,202.112.176.3
indy.fjmu.edu.cn,202.112.176.3
indy.fjmu.edu.cn,202.112.176.3
indy.fjmu.edu.cn,202.112.176.3
indy.fjmu.edu.cn,202.112.176.3
indy.fjmu.edu.cn,202.112.176.3
mail.btbu.edu.cn,211.82.112.23
mail.btbu.edu.cn,211.82.112.23
mail.btbu.edu.cn,211.82.112.23
mail.btbu.edu.cn,211.82.112.23
mail.btbu.edu.cn,211.82.112.23
ndl1mx1-a-fixed.sancharnet.in,61.0.0.46
ndl1mx1-a-fixed.sancharnet.in,61.0.0.46
ndl1mx1-a-fixed.sancharnet.in,61.0.0.46
ndl1mx1-a-fixed.sancharnet.in,61.0.0.46
ndl1mx1-a-fixed.sancharnet.in,61.0.0.46
ndl1mx1-a-fixed.sancharnet.in,61.0.0.46
jumi.hyunwoo.co.kr,211.232.97.217
jumi.hyunwoo.co.kr,211.232.97.217
noc26.corp.home.ad.jp,203.165.5.83
noc26.corp.home.ad.jp,203.165.5.83
tologorri.grupocorreo.es,194.30.32.109
tologorri.grupocorreo.es,194.30.32.109
tologorri.grupocorreo.es,194.30.32.109
tologorri.grupocorreo.es,194.30.32.109
tologorri.grupocorreo.es,194.30.32.109
tologorri.grupocorreo.es,194.30.32.109
vsn1radius1.vsn1.net.in,202.54.4.61
vsnlradius1.vsnl.net.in,202.54.4.61
ns.hallym.ac.kr,210.115.225.11
mail.bangla.net,203.188.252.3
mail.bangla.net,203.188.252.3
unknown.unknown,125.10.31.145
unknown.unknown,125.10.31.145
unknown.unknown,125.10.31.145
unknown.unknown,125.10.31.145
ns.gabontelecom.com,217.77.71.52
ns.gabontelecom.com,217.77.71.52
ns.gabontelecom.com,217.77.71.52
ns.gabontelecom.com,217.77.71.52
ns.gabontelecom.com,217.77.71.52
ns.hanseo.ac.kr,203.234.72.1
ns.hanseo.ac.kr,203.234.72.1
